estrategia,cv_scheme,n_features,auc,accuracy_default,f1_default,optimal_threshold,f1_optimal,accuracy_optimal
visual_only + logistic,spatial,1536,0.5857988165680473,0.5625,0.47761194029850745,1.965927304474635e-05,0.5940246045690024,0.4225
visual_only + logistic,random,1536,0.801224416609032,0.7375,0.6956521739130435,0.2101475536400167,0.7286063569677301,0.7225
visual_only + random_forest,spatial,1536,0.6374138681830989,0.595,0.4774193548387097,0.372977948472018,0.6336206896547092,0.575
visual_only + random_forest,random,1536,0.8113681190604267,0.7175,0.6565349544072948,0.3943155398111065,0.7339901477827652,0.73
visual_only + mlp,spatial,1536,0.6228386997617767,0.5875,0.5217391304347826,0.18777145445346832,0.619047619047155,0.56
visual_only + mlp,random,1536,0.8090115013191936,0.7575,0.7236467236467237,0.45243966579437256,0.7257617728526875,0.7525
structural_only + logistic,spatial,5,0.792002868925946,0.6975,0.6807387862796834,0.5398953512880167,0.693181818181319,0.73
structural_only + logistic,random,5,0.7972796434334894,0.715,0.6918918918918919,0.46939724485659284,0.6974358974354062,0.705
structural_only + random_forest,spatial,5,0.7202541048694895,0.6775,0.6260869565217392,0.14375520484324128,0.6447876447872052,0.54
structural_only + random_forest,random,5,0.7660800737723815,0.6875,0.6334310850439883,0.2334665043731939,0.6694560669451495,0.605
structural_only + mlp,spatial,5,0.6972770818924665,0.6425,0.5756676557863502,0.4216617941856384,0.6373165618444061,0.5675
structural_only + mlp,random,5,0.7609826071364533,0.7025,0.6198083067092651,0.46138516068458557,0.6794520547940233,0.7075
fused + logistic,spatial,1541,0.6361843284920208,0.5925,0.5075528700906344,0.0456738516389938,0.62203023758053,0.5625
fused + logistic,random,1541,0.8338328338328338,0.7675,0.7304347826086957,0.3566311220248754,0.7553191489356752,0.77
fused + random_forest,spatial,1541,0.6675632060247445,0.6175,0.501628664495114,0.39973623431993244,0.6403712296978991,0.6125
fused + random_forest,random,1541,0.8298624452470607,0.73,0.6625,0.43626904133042754,0.7461139896368133,0.755
fused + mlp,spatial,1541,0.6203283895591588,0.6025,0.5167173252279635,0.09005803614854813,0.5991902834003596,0.505
fused + mlp,random,1541,0.8318348318348319,0.7375,0.704225352112676,0.25952428579330444,0.7424242424237532,0.745
